TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Old Marine Lenormand Oracle Deck: Black & Gold Nautical Cards","Old Marine Lenormand deck, black and gold color edition.

This original art deck is a tool for personnel development, clarity and inner wisdom gain. Lenormand cards are very similar to Tarot but different in purpose and structure. It’s more practical deck focusing on everyday happenings.

There are 36 cards full of beautiful, very symbolic illustrations drawn in graphic engraved style. Both beginners and professional readers will find the new experience with Old Marine Lenormand deck.

No physical guidebook is included. Comes in a soft black velvet tarot bag.


Please allow 8 - 12 business days (M-F) for the cards to be delivered not including processing times. Thank you for your patience and understanding.  By purchasing, we assume you agree to the production timeline.",61.99,USD,4,"lenormand_oracle,lenormand_cards,lenormand_tarot,lenormand_deck,lenormand_nautical,nautical_lenormand,gold_tarot,gold_oracle_cards,gold_oracle_deck,pirate_tarot,pirate_oracle,lenormand,old_marine_cards",,https://i.etsystatic.com/36888730/r/il/9cc686/4493557373/il_fullxfull.4493557373_e63n.jpg,https://i.etsystatic.com/36888730/r/il/f642df/4474596177/il_fullxfull.4474596177_b3is.jpg,https://i.etsystatic.com/36888730/r/il/481439/4427236252/il_fullxfull.4427236252_f516.jpg,https://i.etsystatic.com/36888730/r/il/31206a/6640037311/il_fullxfull.6640037311_5b75.jpg,,,,,,,,,,,,,
"Hedgewitch Botanical Oracle Cards: 40-Card Deck with Guidebook","Hedgewitch Botanical Oracle Cards.  Physical Guidebook is included with 40-card oracle deck.

Let the spirits of the plants be your allies and friends. This gracefully illustrated deck will support you with insights gleaned from traditional herb lore, providing guidance and perspective from the thin places between one world and another. 

Designed to awaken your natural intuition, this collection of forty elegant botanical cards from the creator of the Linestrider Tarot draws inspiration from healers and helpers who work in the mysterious realms of wilderness and spirit.

Discover how to draw wisdom from the mystical realms of plant and spirit. Whether you're seeking a focal point for meditation or answers to specific questions, these cards will help you utilize your intuition as you explore the boundary lands between this world and the ethereal plane.

This is a preloved set of cards called Hedgewitch Botanical Oracle by Siolo Thompson. Wisdom from the boundary lands. Let the spirits of the plants be your allies and friends. This gracefully illustrated deck will support you with insights gleaned from traditional herb lore, providing guidance and perspective from the thin places between one world and another.

Don't forget to favorite our shop so you don't miss out on new products and coupons, as well as leave your valued feedback!",36.99,USD,5,"Botanical_Oracle,hedgewitch,hedgewitch_oracle,plant_oracle_deck,plant_tarot,plant_tarot_deck,botanical_occult,botanical_tarot,Herb_Vintage,flower_oracle,flower_tarot,unique_oracle_deck,oracle_decks",,https://i.etsystatic.com/36888730/r/il/bf3fcd/4554127525/il_fullxfull.4554127525_dk2n.jpg,https://i.etsystatic.com/36888730/r/il/fe5a27/4506762550/il_fullxfull.4506762550_1mp8.jpg,https://i.etsystatic.com/36888730/r/il/bbf27a/4554129225/il_fullxfull.4554129225_hxct.jpg,https://i.etsystatic.com/36888730/r/il/cd906f/4554127519/il_fullxfull.4554127519_2ns1.jpg,https://i.etsystatic.com/36888730/r/il/3d5a96/4506762568/il_fullxfull.4506762568_t8uy.jpg,https://i.etsystatic.com/36888730/r/il/fb67be/4506762576/il_fullxfull.4506762576_oil8.jpg,,,,,,,,,,,
"Handmade Leather Journal: Personalized Travel Diary, Blank or Lined","These hand bound journals are perfect for drawing, writing and scrapbooking. 

Made with tough rustic full grain leather, these journals are built to endure. As the journals are handled they will gain unique markings, making them even more personal and truly one of a kind.

The pages of your notebook will be hand bound onto high quality full grain leather covers using the long stitch binding method using durable waxed thread.

This listing is for one journal with 240 pages, counting front and back. 

Hand tooled blank leather journal with unadorned cover and hand stitched edging. Sizes vary slightly. Leather, handmade paper. 240 pages, latch closure. 5 1/2” x 9”.",45.99,USD,2,"poetry_journal,poetry_gift_for_him,leather_notebook,leather_diary,journal_with_lock,journal_with_locket,diary_with_lock,poetry_gift_for_her,handmade_paper_bound,antique_notebook,leather_sketchbook,handmade_sketchbook,antique_sketchbook",,https://i.etsystatic.com/36888730/r/il/97f370/4097071594/il_fullxfull.4097071594_9gcw.jpg,https://i.etsystatic.com/36888730/r/il/dc89f9/4097071582/il_fullxfull.4097071582_4qq9.jpg,https://i.etsystatic.com/36888730/r/il/213d07/4144722131/il_fullxfull.4144722131_3lql.jpg,https://i.etsystatic.com/36888730/r/il/c54970/4097071592/il_fullxfull.4097071592_t5l3.jpg,https://i.etsystatic.com/36888730/r/il/04d3bb/4097067576/il_fullxfull.4097067576_qp7f.jpg,https://i.etsystatic.com/36888730/r/il/6c794b/4097071586/il_fullxfull.4097071586_r4r2.jpg,https://i.etsystatic.com/36888730/r/il/f5b5a6/4097071600/il_fullxfull.4097071600_7gym.jpg,,,,,,,,,,
"Tree of Life Dream Catcher: White Feathers, Wooden Beads (4.5"")","Beautifully encircled Tree of Life Dream Catcher, woven with soft flat material , adorned with white feathers hanging from wooded beaded strands.

Dreamcatchers are believed to differentiate dreams both good and bad descended from the night sky.

Bad dreams were captured in a web and held there until the rays of the morning sun evaporated them.

Good dreams slipped through the web on to the dreamer. 4 1/2"" dream catcher.


As the legend is told, both good dreams and bad dreams circulate in the night air, by hanging a Dream Catcher over your sleeping area.

The holes in the center of the Tree of Life limbs allow the good dreams to pass through while the bad dreams are trapped until they disappear in the morning sun.

Dream Catchers are believed to bless sleeping ones with pleasant dreams, good luck and harmony.

This listing is for one (1) Dream Catcher:
4.5"" long 
Made of suede, feathers and wooden beads


***The most important thing included with all our products is LOVE***

No returns or exchanges
But please contact me if you have any problems with your order.",25.99,USD,2,"boho_wall_hangings,bohemian,natural_healing,dream_catcher_wall,dream_catcher,dream_catchers,dream_catcher_white,feathers,hippie,tree_dream_catcher,native_american,tree_of_life,dreamcatcher","Wood,Fabric,Leather,Wicker,Feather",https://i.etsystatic.com/36888730/r/il/b9079f/4048419958/il_fullxfull.4048419958_l40k.jpg,https://i.etsystatic.com/36888730/r/il/1c08b9/4096063271/il_fullxfull.4096063271_skfl.jpg,https://i.etsystatic.com/36888730/r/il/7bba09/4048419944/il_fullxfull.4048419944_a051.jpg,https://i.etsystatic.com/36888730/r/il/e723d8/4096072945/il_fullxfull.4096072945_jos9.jpg,,,,,,,,,,,,,
"Orgone Rose Quartz Pyramid, Guardian Angel and Tumbled Stones Orgonite, Energy Generator for Protection, Reiki, Home Decor","65mm Orgone Rose Quartz & Quartz Point pyramid


These 2"" Orgonite Pyramids are well made and so purposeful.

Use this pyramid to harness the power of unconditional love towards yourself or your environment. The pyramids were used as powerful healing chambers.

Filled with the essential ingredients to activate the orgone. Complete with a copper wrapped quartz point at the top. Bottom base measures almost 3"" x 3"" and stands approximately 2"".

Electrical pollution, sometimes referred to as dirty electricity, is a way to describe what people are being exposed to constantly in our modern, high-tech society.

It is not detected by any of our senses, so it is a largely unknown phenomenon.

Dirty electricity is unusable electromagnetic energy (also referred to as “EMFs”) that permeates from the many electric devices that surround us.

Negative and toxic energy move through the Orgonite pyramids, creating electromagnetic friction resulting from the mixture of metal and crystal in the resin.

Orgonite pyramids do not eliminate the electromagnetic energy; instead, they reorganize the pattern of the energy to one that is harmonized for the human body.

Think of an orgonite pyramid like a filter for toxic energy in your surroundings.

While orgonite can be made into many shapes, the pyramid is a popular form because pyramids are renowned for their ability to amplify and transmit energy.

Crafting orgonite into a pyramid shape is an easy way to enhance its positive effects.

Orgone pyramids are made of a mix of organic (resin) and non-organic materials (metal shavings) that have the property of moving the orgone energy back and forth and act as a cleansing of the stagnant, negative energies.

Hence, the powerful healing effects of the crystals are magnified in an orgone pyramid.",26.95,USD,3,"orgonite_pyramid,orgone_pyramid,emf_protection,orgone,organite,crystal_pyramid,pyramid,energy_generator,orgone_generator,energy_healing,meditation_tool,pyramid_jewels,orgonite_mwo",,https://i.etsystatic.com/36888730/r/il/d5f312/4095161743/il_fullxfull.4095161743_43lh.jpg,https://i.etsystatic.com/36888730/r/il/fd82cb/4047506412/il_fullxfull.4047506412_1a0h.jpg,,,,,,,,,,,,,,,
"Amethyst Crystal Dowsing Pendulum: Faceted Gemstone, Healing Meditation","This listing is for (one) 6-sided Amethyst pendulum.

You get one Amethyst Crystal Pendulum similar to above.
Please expect some slight variation in terms of color, texture, etc., as there are some wonderful variations unique to each stone.

Crystal Pendulum Material :Amethyst, Resin, Alloy, Copper

Use: Suitable for those looking for a pendulum with a calming effect, good for meditation and healing pain or distress.

6 Faceted Cut Dowsing Pendulum: Each crystal stone of this pendant pendulum is carefully selected, 6 faceted cut and polished, with a wire copper inside, a unique crystal pendant pendulum jewelry.

Perfect Gift:  It will be a great gift for those looking for a pendulum with a calming effect, good for meditation and healing pain or distress.",21.99,USD,2,"amethyst_pendulum,dowsing_crystal,scrying_crystal,healing_pendant,faceted_dowser,aura_cleansing,crystal_point,scrying_pendalum,crystals_for_healing,inner_peace_gem,inner_peace_crystal,cleansing_gemstones,discovery_crystal",,https://i.etsystatic.com/36888730/r/il/eee88f/4148940859/il_fullxfull.4148940859_akvb.jpg,https://i.etsystatic.com/36888730/r/il/ec9a02/4100552544/il_fullxfull.4100552544_6o7h.jpg,https://i.etsystatic.com/36888730/r/il/43fbc7/4148940853/il_fullxfull.4148940853_ku11.jpg,https://i.etsystatic.com/36888730/r/il/d0d093/4148940855/il_fullxfull.4148940855_nrgn.jpg,,,,,,,,,,,,,
"Retro Pin Up Girls Tarot Deck: 78 Card Indie Divination Deck","📌Retro Pin Up Girls Tarot is a tarot deck that I created  for you to use with friends and family to remember the good ol' days. This is a complete deck of the traditional 78 cards.

The Retro Pin Up Girls Tarot deck is a  easy-to-read deck with a delicate and simple design. Includes the full Major and Minor Arcana.

These are really beautiful illustrations. You should see all 78 images. 

⭐This deck is an indie tarot deck, created with ♥ for you by me. Please don't try to sell it as your own.


There is no guidebook. Why? Because there are some incredible resources out there on the web, on social media, on blogs, sites, and on Pinterest. It’s all out there for you.  Ultimately, tarot cards are simply an expression of the energy that you channel.


Please allow 8 - 12 business days (M-F) for the cards to be delivered not including processing times. Thank you for your patience and understanding.  By purchasing, we assume you agree to the production timeline.

Don't forget to favorite our shop and leave your valued feedback if you purchased this item!

Let's connect and subscribe to our newsletter 🔗 https://beacons.ai/atlasrelics",61.99,USD,4,"pin_up_girls_cards,pin_up_girls_tarot,pin_up_girls,tarot_pin_up_girls,retro_tarot,retro_tarot_deck,pinup_girls,vintage_tarot,vintage_tarot_cards,vintage_tarot_deck,gift_for_him,vintage_pin_up,vintage_pin_up_girls",,https://i.etsystatic.com/36888730/r/il/565dd3/4151466178/il_fullxfull.4151466178_5he3.jpg,https://i.etsystatic.com/36888730/r/il/6a9035/4142943404/il_fullxfull.4142943404_6pus.jpg,https://i.etsystatic.com/36888730/r/il/b64783/4199231877/il_fullxfull.4199231877_jtb8.jpg,https://i.etsystatic.com/36888730/r/il/00b349/4160439131/il_fullxfull.4160439131_olmc.jpg,https://i.etsystatic.com/36888730/r/il/fc82f2/4190603805/il_fullxfull.4190603805_p9vw.jpg,https://i.etsystatic.com/36888730/r/il/9b7db2/4160453169/il_fullxfull.4160453169_kqed.jpg,https://i.etsystatic.com/36888730/r/il/c438c2/4160438901/il_fullxfull.4160438901_nhrq.jpg,https://i.etsystatic.com/36888730/r/il/a4eac6/4112773434/il_fullxfull.4112773434_708o.jpg,https://i.etsystatic.com/36888730/r/il/4751bd/4112773380/il_fullxfull.4112773380_kin3.jpg,https://i.etsystatic.com/36888730/r/il/c3b774/4160439115/il_fullxfull.4160439115_7iha.jpg,,,,,,,
"Luck & Prosperity Gemstone Kit: Money Manifestation Crystal Set","Luck and prosperity gemstone collection. This boxed set includes 7 natural stones and minerals to assist with luck and prosperity.

Green Aventurine, Tiger's Eye, Labradorite, Carnelian, Amethyst, Pyrite, Rainbow Fluorite and a satchel to carry them in.

6"" x 5"" Magnetic closure box with gemstone properties on the inside cover.

Stones shown are for illustration as these are natural items please expect some variance from item to item. Stones supplied will be very similar but not identical.",36.99,USD,2,"luck_stones,prosperity_stones,abundance_stones,gemstones,attract_wealth,crystal_kit,crystals,success_stones,success,abundance",,https://i.etsystatic.com/36888730/r/il/e3c34f/4076975514/il_fullxfull.4076975514_5qxx.jpg,https://i.etsystatic.com/36888730/r/il/6ed93a/4076988752/il_fullxfull.4076988752_qez1.jpg,https://i.etsystatic.com/36888730/r/il/f98d15/4076988744/il_fullxfull.4076988744_3kxw.jpg,https://i.etsystatic.com/36888730/r/il/d3c619/4124633025/il_fullxfull.4124633025_hnnx.jpg,https://i.etsystatic.com/36888730/r/il/10642f/4124633501/il_fullxfull.4124633501_87b3.jpg,https://i.etsystatic.com/36888730/r/il/496e91/4124634013/il_fullxfull.4124634013_6qoy.jpg,,,,,,,,,,,
"Black Soapstone Pentagram Mortar and Pestle: Wiccan Altar Tool","4"" Pentagram mortar and pestle set

A black soapstone mortar & pestle set with pentagrams carved into the side of the mortar. 4"" x 3"".

Holds approx 5 3/8 ozs of water.

The height of the mortar from the base to the top is approximately 3-3/4 inches with a mouth width of 4 inches. 

The inside cavity is approximately 3 inches in height and will hold 1/2 cup of material total, although that won't leave any room for manipulation of the material(s). The pestle is almost 4 inches long.

Used to grind fresh or dried herbs, teas, seeds, spices, resins, woods and more.
This mortar & pestle is handcrafted from natural stone and features a carved pentagram decoration on the mortar.

Can also be used as a smudge bowl and can hold herbs, resins or loose smudge.

This listing is for ONE mortar and pestle from our inventory. Colors may vary.


Approximate combined weight of mortar and pestle is 2 pounds.

These are each hand carved and as such may have slight variations or imperfections in the carvings.

*Please Note - Although we do our best to get the best representation of the true colors of our items, there might be a variation in color or brightness of an item due to computer screen variations and/or photographic lighting.

Most of our items are created from natural stones and therefore may have various inclusions, chips, cracks or other markings that make each stone unique. These are not ""defects"" but are natural markings.

When shooting our photos we shoot closeups so our customers can see as much detail about the items as possible, therefore, items may look larger in the photos then they appear in person. Please refer to all of the photos of each item to view them prior to purchasing. 

Please refer to the listing for weights and measurements which are listed with each item, so there is no confusion as to size or weight. If you have any questions about the item prior to purchasing, please send us a message. We're happy to help or answer any questions you might have.*

Don't forget to favorite our shop so you can see when we're having a sale or get new items in!",36.99,USD,2,"pentagram,mortar,pestle_and_mortar,witchcraft,mortar_and_pestle,mortar_pestle,altar_tools,pentagram_grinder,herb_grinder,shrine_tool,shrine_tools,grinder_for_herbs,wicca",,https://i.etsystatic.com/36888730/r/il/0355b2/4095795071/il_fullxfull.4095795071_ddo9.jpg,https://i.etsystatic.com/36888730/r/il/b694be/4095835753/il_fullxfull.4095835753_cyme.jpg,,,,,,,,,,,,,,,
"Anti-Stress Gemstone Therapy Kit: Anxiety Relief","Anti-Stress gemstone therapy kit

Gemmotherapy kit specially designed to help in situations where communication with others is severely lacking, tension is high and the situation it's very stressful.

Crystals are light frequencies, archives of consciousness and transmitters of very high energies. They tend to harmonize our frequency with theirs, raising our vibration. They help us to materialize our wishes.

The kit contains: Amazonite, Howlite, Black tourmaline, Citrine and Rose Quartz.

Phytotherapy is the practice of using medicines derived from plants or herbs to treat or prevent health conditions.",24.99,USD,2,"gemstone_kit,anti_stress,gem_stone_kit,cleansing_kit,anxiety_relief_kit,anxiety_relief_gems,anxiety_crystal_set,anti_stress_crystals,protection_kit,crystal_protection,gem_protection_kit,calming_crystal_kit,crystal_for_beginner",,https://i.etsystatic.com/36888730/r/il/683d54/4152677873/il_fullxfull.4152677873_8e18.jpg,https://i.etsystatic.com/36888730/r/il/45ab5b/4152653329/il_fullxfull.4152653329_irqv.jpg,https://i.etsystatic.com/36888730/r/il/a442e3/4105021746/il_fullxfull.4105021746_k56p.jpg,https://i.etsystatic.com/36888730/r/il/07e233/4105021654/il_fullxfull.4105021654_klp3.jpg,https://i.etsystatic.com/36888730/r/il/333f26/4105021716/il_fullxfull.4105021716_i3k5.jpg,https://i.etsystatic.com/36888730/r/il/14a21a/4105021788/il_fullxfull.4105021788_oicn.jpg,https://i.etsystatic.com/36888730/r/il/5b7874/4152678013/il_fullxfull.4152678013_hfus.jpg,https://i.etsystatic.com/36888730/r/il/6b56b3/4152678139/il_fullxfull.4152678139_9ahg.jpg,https://i.etsystatic.com/36888730/r/il/32482e/4105021836/il_fullxfull.4105021836_78hm.jpg,https://i.etsystatic.com/36888730/r/il/a486cb/4152691495/il_fullxfull.4152691495_aiwh.jpg,,,,,,,
